iter	R2	RMSE
0	0.007513222202	13084106.14
1	0.01436530934	13038861.86
2	0.02099913065	12994908.7
3	0.02921565768	12940262.17
4	0.03698228478	12888394.83
5	0.04569750242	12829942.91
6	0.05228447832	12785587.55
7	0.05929835934	12738187.71
8	0.06592800725	12693221.8
9	0.07250864088	12648430.24
10	0.07917405908	12602899.31
11	0.08578692829	12557564.2
12	0.09143097396	12518741.09
13	0.09679001754	12481766.63
14	0.1031389475	12437820.25
15	0.1098236463	12391381.29
16	0.1167615323	12342998.65
17	0.1224535251	12303162.4
18	0.1280918618	12263574.1
19	0.1345182366	12218296.35
20	0.1401359401	12178578.29
21	0.145899005	12137697.45
22	0.1512866438	12099354.8
23	0.1567026331	12060687.53
24	0.1619539865	12023076.93
25	0.166781915	11988394.83
26	0.1720089432	11950732.26
27	0.1779822383	11907546.73
28	0.1839205716	11864458.16
29	0.188975169	11827658.3
30	0.1937793354	11792575.26
31	0.1988371891	11755526.49
32	0.20403431	11717335.57
33	0.2088942566	11681509.39
34	0.2140366634	11643480.97
35	0.2193190818	11604287.39
36	0.2241920795	11568013.81
37	0.2290043864	11532080.02
38	0.2333630418	11499436.77
39	0.2375485096	11468003.13
40	0.2420800147	11433873.24
41	0.2465221797	11400317.07
42	0.2512260455	11364675.99
43	0.2552212974	11334316.05
44	0.2590649718	11305030.99
45	0.2639752871	11267508.44
46	0.2687425065	11230959.43
47	0.2734769131	11194543.89
48	0.2784327891	11156297.55
49	0.2825016788	11124798.11
50	0.2869452509	11090295.86
51	0.291232006	11056909.19
52	0.2950189942	11027330.77
53	0.2990024358	10996132.09
54	0.3032259316	10962956.31
55	0.3075024923	10929261.09
56	0.3108251811	10903009.59
57	0.3141338069	10876806.24
58	0.3181357481	10845027.43
59	0.322048644	10813865.43
60	0.3264031545	10779080.52
61	0.3307588163	10744173.75
62	0.3347414901	10712156.6
63	0.3384250604	10682458.56
64	0.3423092161	10651053.64
65	0.3460646737	10620601
66	0.3494765918	10592858.19
67	0.3529439408	10564590.02
68	0.3568411606	10532726.7
69	0.3599506376	10507234.58
70	0.3639211299	10474593.51
71	0.3678599452	10442112.04
72	0.370474778	10420492.88
73	0.3739072954	10392044.92
74	0.3771503595	10365095.38
75	0.380475427	10337391.45
76	0.3839186377	10308624.71
77	0.3870859749	10282091.72
78	0.3904344097	10253967
79	0.3931886921	10230774.83
80	0.3966553976	10201508.83
81	0.3997125851	10175630.14
82	0.4027437681	10149906.43
83	0.4061506727	10120916.18
84	0.4092069342	10094838.8
85	0.4121348611	10069793.1
86	0.4147484234	10047383.75
87	0.4174768971	10023935.67
88	0.4200489917	10001781.16
89	0.4226029201	9979734.451
90	0.4256881737	9953035.967
91	0.4283451866	9929985.77
92	0.4315062624	9902492.822
93	0.43389906	9881630.986
94	0.436597549	9858050.981
95	0.4393967226	9833531.425
96	0.4418664115	9811847.133
97	0.4449228927	9784944.168
98	0.4476971533	9760461.094
99	0.4500191407	9739922.055
100	0.4524174383	9718662.449
101	0.4555620723	9690716.307
102	0.4581372154	9667771.029
103	0.4605073329	9646604.356
104	0.462898627	9625201.389
105	0.465592033	9601037.275
106	0.4678224666	9580980.626
107	0.4703557702	9558149.441
108	0.4726700558	9537244.367
109	0.4748356568	9517640.782
110	0.4774670122	9493766.593
111	0.4794588659	9475654.579
112	0.4826780351	9446309.114
113	0.4848435078	9426517.595
114	0.4870096933	9406677.898
115	0.489138055	9387143.784
116	0.4913583471	9366722.516
117	0.4937065197	9345076.506
