iter	Passed	Remaining
0	0	831
1	1	843
2	2	768
3	2	714
4	3	688
5	4	729
6	5	714
7	5	701
8	6	690
9	6	682
10	7	673
11	8	678
12	8	672
13	9	667
14	10	675
15	11	679
16	11	674
17	12	669
18	13	677
19	13	673
20	14	669
21	14	664
22	15	660
23	16	669
24	17	669
25	17	667
26	18	664
27	19	661
28	19	658
29	20	654
30	20	650
31	21	647
32	22	645
33	22	648
34	23	649
35	24	650
36	24	647
37	25	644
38	26	642
39	26	640
40	27	638
41	28	643
42	29	645
43	29	645
44	30	643
45	30	640
46	31	638
47	32	637
48	32	635
49	33	631
50	33	628
51	34	626
52	34	624
53	35	622
54	36	619
55	36	616
56	37	613
57	37	610
58	38	607
59	38	604
60	39	602
61	39	600
62	40	602
63	41	600
64	41	597
65	42	595
66	42	592
67	43	590
68	43	588
69	44	585
70	44	583
71	45	581
72	45	579
73	46	580
74	46	579
75	47	579
76	48	578
77	48	576
78	49	574
79	49	572
80	50	571
81	50	569
82	51	567
83	51	566
84	52	564
85	53	563
86	53	563
87	54	562
88	54	560
89	55	558
90	55	556
91	56	555
92	56	553
93	57	551
94	57	550
95	58	551
96	59	549
97	59	547
98	60	546
99	60	544
100	61	543
101	61	541
102	62	540
103	62	539
104	63	538
105	63	537
106	64	536
107	64	535
108	65	535
109	66	536
110	66	534
111	67	534
112	67	532
113	68	531
114	68	530
115	69	529
116	70	528
117	70	528
118	71	530
119	72	530
120	73	530
121	73	530
122	74	530
123	75	531
124	75	531
125	77	535
126	77	535
127	78	534
128	79	534
129	79	534
130	80	536
131	81	536
132	82	536
133	83	536
134	83	536
135	84	537
136	85	538
137	86	537
138	86	536
139	87	535
140	87	535
141	88	535
142	89	534
143	89	533
144	90	533
145	91	532
146	91	531
147	92	531
148	92	530
149	93	529
150	94	529
151	94	529
152	95	528
153	96	527
154	96	527
155	97	526
156	97	525
157	98	525
158	99	524
159	99	523
160	100	523
161	101	523
162	101	522
163	102	521
164	102	520
165	103	520
166	104	519
167	104	518
168	105	517
169	106	517
170	106	517
171	107	517
172	108	516
173	108	515
174	109	515
175	109	514
176	110	513
177	111	513
178	111	512
179	112	513
180	113	512
181	113	512
182	114	511
183	115	510
184	115	510
185	116	509
186	117	509
187	117	508
188	118	508
189	119	508
190	120	508
191	120	507
192	121	507
193	121	506
194	122	506
195	123	506
196	124	506
197	124	505
198	125	505
199	126	504
200	126	504
201	127	503
202	128	502
203	128	502
204	129	501
205	130	501
206	130	500
207	131	500
208	132	499
209	132	499
210	133	498
211	134	498
212	134	497
213	135	497
214	136	496
215	136	496
